iter	Logloss
0	0.5753819456
1	0.5008207376
2	0.4446675242
3	0.4011607184
4	0.359804485
5	0.3389914385
6	0.3212486515
7	0.3107196121
8	0.3000259499
9	0.2854359712
10	0.279546712
11	0.2738888584
12	0.2691838322
13	0.263083465
14	0.2586868406
15	0.2519854134
16	0.248201751
17	0.2458623739
18	0.2406458992
19	0.2389256964
20	0.235550062
21	0.2327608187
22	0.2287252752
23	0.2266202241
24	0.2258782409
25	0.2233512236
26	0.2224654746
27	0.2213239991
28	0.2185887844
29	0.2169493513
30	0.2144848506
31	0.212740157
32	0.2103436775
33	0.2092803996
34	0.2080726466
35	0.207455989
36	0.2063971227
37	0.2056343506
38	0.2038844039
39	0.203096235
40	0.202573437
41	0.201252295
42	0.2000133057
43	0.1992367263
44	0.1978869077
45	0.1964846342
46	0.195675112
47	0.1946363974
48	0.1941044823
49	0.1935638153
50	0.1927288305
51	0.1925827999
52	0.191791789
53	0.191255308
54	0.1904381972
55	0.1899880424
56	0.1891211506
57	0.1886865395
58	0.1875730468
59	0.1864557361
60	0.186451289
61	0.1857873957
62	0.1854384601
63	0.1849597323
64	0.1844852021
65	0.1841350704
66	0.1837096644
67	0.1831688102
68	0.1828281856
69	0.1828122389
70	0.1821477263
71	0.1816132093
72	0.1812157184
73	0.1809611909
74	0.1802682512
75	0.1797503749
76	0.1790845733
77	0.1786462693
78	0.1782670071
79	0.1781030909
80	0.177790026
81	0.1771050276
82	0.1766706627
83	0.1762843929
84	0.1762016332
85	0.1758439529
86	0.1754880839
87	0.1751686761
88	0.174852732
89	0.1747755875
90	0.1744930887
91	0.1736949956
92	0.1734751513
93	0.1733048837
94	0.1726568044
95	0.1721272085
96	0.1720348335
97	0.1718058743
98	0.1713055867
99	0.1710650351
100	0.1708011854
101	0.1703709954
102	0.1698516621
103	0.1692807495
104	0.1690352791
105	0.1688128986
106	0.1687193807
107	0.1685317538
108	0.1682992423
109	0.1678850878
110	0.1676233986
111	0.1674588349
112	0.1671737001
113	0.1669416055
114	0.1668605685
115	0.1665420433
116	0.1663517709
117	0.16609507
118	0.1659607406
119	0.1658014968
120	0.1656717445
121	0.1654494777
122	0.1652770273
123	0.1651731165
124	0.1648926517
125	0.1647382843
126	0.1646531592
127	0.1645121908
128	0.1643942672
129	0.1641601682
130	0.1639259405
131	0.1637107782
132	0.1636049128
133	0.1635017961
134	0.1632364604
135	0.1630412325
136	0.1629328917
137	0.1628679626
138	0.1626471567
139	0.1624985973
140	0.1619093727
141	0.1617643211
142	0.1613189658
143	0.1611972047
144	0.161037168
145	0.1608551222
146	0.160664645
147	0.1604742094
148	0.1603951805
149	0.1603513762
150	0.1602258293
151	0.1599161848
152	0.1596806056
153	0.159518721
154	0.159435478
155	0.1593809396
156	0.158986303
157	0.1588815877
158	0.1585766631
159	0.1584710735
160	0.1583702996
161	0.158147144
162	0.1579844106
163	0.1579605832
164	0.1578558215
165	0.1577404579
166	0.1575473884
167	0.1574386743
168	0.1573222218
169	0.1572419327
170	0.1571585256
171	0.1569612456
172	0.1568435263
173	0.1566690609
174	0.1565691834
175	0.1563992719
176	0.1562947459
177	0.1562223854
178	0.1561208933
179	0.1560278761
180	0.155953448
181	0.1558679287
182	0.1557392433
183	0.1556575213
184	0.1554923568
185	0.1554030452
186	0.1552325796
187	0.155135419
188	0.15502501
189	0.1549639142
190	0.1548977842
191	0.1547493744
192	0.1546761097
193	0.1545983201
194	0.1545405304
195	0.1543949621
196	0.1543117718
197	0.1539289746
198	0.1537885644
199	0.1537000343
200	0.153630663
201	0.1535647683
202	0.1534145867
203	0.1533700348
204	0.1532977574
205	0.1532354001
206	0.1531358174
207	0.153113062
208	0.1530271888
209	0.1529273668
210	0.1528532838
211	0.15259748
212	0.1525508165
213	0.152396797
214	0.152322414
215	0.1522725194
216	0.1521141649
217	0.1519848489
218	0.1518756719
219	0.1518461922
220	0.1518047052
221	0.1515581197
222	0.1515113616
223	0.1514614165
224	0.1514141021
225	0.1512973814
226	0.1511350147
227	0.1510638899
228	0.1510460992
229	0.1509825185
230	0.1509231434
231	0.1507871533
232	0.1506728686
233	0.1506257352
234	0.1503708646
235	0.1502763673
236	0.150193172
237	0.1501300973
238	0.1500726466
239	0.1500080863
240	0.1499768891
241	0.1498757106
242	0.1498496821
243	0.1498058925
244	0.1496941892
245	0.1494844965
246	0.1493253667
247	0.1492854296
248	0.1492303883
249	0.1491905961
250	0.149105908
251	0.1490910589
252	0.1489989416
253	0.1489008017
254	0.1488384621
255	0.1487677257
256	0.1487180004
257	0.1486983116
258	0.1484458814
259	0.1483253082
260	0.1482614293
261	0.1481609323
262	0.1480116899
263	0.1478546659
264	0.1476868721
265	0.1475726137
266	0.1474114436
267	0.1473790316
268	0.1473294128
269	0.1472441815
270	0.1472007531
271	0.1470719666
272	0.1468759541
273	0.1468505297
274	0.1468181981
275	0.1467509524
276	0.1466513277
277	0.1465706893
278	0.1465017083
279	0.1464327524
280	0.1462174163
281	0.1461694837
282	0.1460498242
283	0.145971643
284	0.1459148905
285	0.1458567109
286	0.1457541023
287	0.1456208269
288	0.1455113691
289	0.1454657916
290	0.1454429806
291	0.1453987371
292	0.1453800405
293	0.1452941963
294	0.1451977139
295	0.1451804427
296	0.1451431172
297	0.145112917
298	0.1450628291
299	0.1450461604
300	0.1450262331
301	0.1450068119
302	0.1448558744
303	0.1448250757
304	0.1447543141
305	0.1447418002
306	0.1447249153
307	0.14469637
308	0.1445296451
309	0.1445005642
310	0.1444872554
311	0.1444661225
312	0.144457353
313	0.1444276533
314	0.1442940124
315	0.1442485416
316	0.144204717
317	0.1441121648
318	0.1440471847
319	0.1439941318
320	0.1438986655
321	0.1437911004
322	0.1437090638
323	0.1436549558
324	0.143602312
325	0.1434769699
326	0.1433996011
327	0.1433873447
328	0.1432785014
329	0.1432372688
330	0.1431559644
331	0.1430547706
332	0.1430060593
333	0.1429511083
334	0.1428782126
335	0.1426818869
336	0.1425194238
337	0.1425010496
338	0.1424133047
339	0.1423978243
340	0.1423328859
341	0.1423083582
342	0.142278956
343	0.1421420151
344	0.1420135268
345	0.1419895377
346	0.1418786315
347	0.1418522088
348	0.1417666942
349	0.1416732123
350	0.141592871
351	0.1415042059
352	0.1414786035
353	0.1414547673
354	0.1414212926
355	0.1412743588
356	0.1412276845
