iter	Logloss
0	0.3696624405
1	0.3434267361
2	0.3165446525
3	0.3014709962
4	0.2864366948
5	0.2816440533
6	0.2764705374
7	0.2575169334
8	0.2527988208
9	0.2440357174
10	0.2346553424
11	0.2301539626
12	0.2250258462
13	0.2197856551
14	0.2185930597
15	0.2162432083
16	0.2158438518
17	0.2117618231
18	0.2091026274
19	0.2078565489
20	0.2074767265
21	0.2055204549
22	0.2020306127
23	0.2006391004
24	0.1994644399
25	0.1975995015
26	0.1967067964
27	0.1957843854
28	0.1945067684
29	0.1935951153
30	0.1927380767
31	0.1918455854
32	0.1911656161
33	0.1909547807
34	0.1900922298
35	0.1880139109
36	0.1862870058
37	0.1854977092
38	0.1851184257
39	0.1836300629
40	0.1831264643
41	0.1829315951
42	0.1827273638
43	0.1818296157
44	0.18120598
45	0.180702917
46	0.1805322084
47	0.1796564419
48	0.1795345055
49	0.1789730181
50	0.1786801169
51	0.1782155657
52	0.1774419718
53	0.1771906742
54	0.1766557188
55	0.1757118578
56	0.175142175
57	0.1742653997
58	0.1737768396
59	0.1734655782
60	0.173248863
61	0.1729068287
62	0.1725589582
63	0.1722899359
64	0.1721625725
65	0.1717862898
66	0.1713339048
67	0.171248426
68	0.1707278453
69	0.1704943964
70	0.1700850056
71	0.1699617756
72	0.1696605862
73	0.1695770744
74	0.1693627835
75	0.1691629143
76	0.1691077871
77	0.1685538566
78	0.1680459514
79	0.1676795624
80	0.1674807442
81	0.1672790478
82	0.1671555015
83	0.1669179962
84	0.1666013656
85	0.1663994891
86	0.1662838403
87	0.1661427473
88	0.1660269235
89	0.1659146641
90	0.1657439869
91	0.1656438912
92	0.1656444103
93	0.1656316632
94	0.1654920983
95	0.1654129496
96	0.1653893413
97	0.1653273299
98	0.1651935855
99	0.1650716324
100	0.164735959
101	0.1643351317
102	0.1643007995
103	0.1640875983
104	0.1639407134
105	0.1637046402
106	0.1635074053
107	0.1634439014
108	0.1632425146
109	0.1631882577
110	0.163110207
111	0.163056233
112	0.1629808005
113	0.1627680681
114	0.1626329939
115	0.1625667696
116	0.1624729169
117	0.1624104188
118	0.1623768713
119	0.1623352647
120	0.1622904724
121	0.1622381594
122	0.1619638675
123	0.1619273348
124	0.1618918724
125	0.1618251771
126	0.1617952017
127	0.1617646618
128	0.1617450377
129	0.1617390872
130	0.1617021018
131	0.1616569116
132	0.1616173128
133	0.161598022
134	0.1615521165
135	0.16148099
136	0.1613956554
137	0.1613515445
138	0.1612531415
139	0.1612007212
140	0.1611855809
141	0.1611608953
142	0.1611457716
143	0.1611398233
144	0.1611126382
145	0.1610959203
146	0.1610254149
147	0.160979558
148	0.1609367105
149	0.1608923126
150	0.160863208
151	0.1608457031
152	0.160845599
153	0.1608449063
154	0.1608438587
155	0.1608357469
156	0.1608259247
157	0.1607747747
158	0.1607163379
159	0.1606663475
160	0.1606401454
161	0.1606402147
162	0.1606397803
163	0.1606316039
164	0.1605387291
165	0.1605146931
166	0.1605049511
167	0.1604976015
168	0.1604584509
169	0.1604421472
170	0.1604066972
171	0.1603553158
172	0.1603380968
173	0.1602457378
174	0.1602444946
175	0.1602433915
176	0.160238793
177	0.1602242309
178	0.1601984817
179	0.1601557422
180	0.1601473216
181	0.1601288033
182	0.1601068837
183	0.1600920269
184	0.1600780006
185	0.1600765837
